title,channel_title,desc,date,tags,liked,disliked,views
Настя и волшебные цветные палатки Оживили Лунтика,Like Nastya,"Настя и волшебные цветные палатки Оживили Лунтика
Magic Colored toyhouse tents with Luntik",2018-04-10T07:00:03Z,"['игрушки', 'волшебство', 'для детей', 'детский домик', 'про лунтика', 'magic', 'toys', 'toyhouse', 'playhouse', 'colored', 'magic for kids', 'for kids', 'funny kid', 'игровая палатка', 'like nastya', 'nastya', 'настя', 'лайк настя']",58414,25143,24958489
This is the way - Song for kids by Nastya,Like Nastya,"Nastya sings a song about how to start your morning before school. You need to brush your teeth, dress, comb and have breakfast.",2018-04-08T06:30:02Z,"['nastya', 'nastya song', 'this is the way', 'brush your teeth song', 'song for kids', 'like nastya', 'настя']",13618,6710,5257779
Песенки потешки для детей в пасхальных яйцах,Like Nastya,"Песенки потешки для детей в пасхальных яйцах Сборник из трёх песенок от Насти
Nastya found Funny rhymes songs in the easter eggs",2018-04-04T07:00:01Z,"['сюрпризы', 'песенки для детей', 'детские песенки', 'потешки', 'пасхальные яйца', 'песенка клип', 'детский канал', 'настя', 'лайк настя', 'сборник', 'канал для детей', 'сборник для детей', 'songs', 'surprises', 'easter eggs', 'rhymes', 'songs for kids', 'funny', 'like nastya', 'nastya']",51674,22380,19271962
Настя строит Игрушечные домики для животных из фермы,Like Nastya,Настя строит Игрушечные домики для животных из фермы Farm toys and playhouses for kids,2018-04-02T06:30:02Z,"['игрушки', 'играем', 'видео для детей', 'домик для детей', 'домики', 'для детей', 'игрушки для детей', 'детское видео', 'детский канал', 'новое видео', 'toy horse', 'kids toys', 'playhouse', 'for kids', 'fun', 'play', 'toys', 'farm toys', 'toys for kids', 'лайк настя', 'настя', 'like nastya', 'Настя', 'nastya']",66346,24908,26227882
Сборник видео для детей Путешествия в зоопарки,Like Nastya,"Сборник видео для детей Путешествия в зоопарки разных стран. Самые запоминающиеся моменты из наших поездок по Азии.
Funny video Compilation for kids",2018-03-31T06:11:55Z,"['сборник для детей', 'путешествия', 'зоопарк', 'в парке', 'детский канал', 'для детей', 'zoo', 'видео для детей', 'funny video', 'funny fails', 'compilation', 'for kids', 'park', 'video for kids', 'kid', 'funny', 'like nastya', 'nastya', 'лайк настя', 'Настя']",60613,33353,41959215
Сюрпризы Игрушки в разноцветных карзинках,Like Nastya,Сюрпризы Игрушки в разноцветных карзинках Surprises toys in the colored easter baskets,2018-03-29T07:00:02Z,"['сюрпризы', 'игрушки', 'разноцветные', 'surprise', 'surprises', 'toys', 'colored', 'easter basket', 'toy', 'для детей', 'kids toys', 'surprise toys', 'for children', 'play', 'kids video', 'toys for kids', 'nastya', 'like nastya', 'настя', 'лайк настя']",132948,58111,52144492
Nastya and funny Farm Song for Kids,Like Nastya,Nastya and her favorite song about the farm and the animals in it.,2018-03-25T06:30:01Z,"['nastya', 'like nastya', 'настя', 'лайк настя', 'nastya song', 'farm song', 'song for kids']",19999,10097,9010506
Настя в музее мороженного,Like Nastya,"Развлечения в детском музее сладостей. Нас угощают мороженым, а мы делаем много фотографий на память.",2018-03-23T06:30:01Z,"['настя', 'музей мороженого', 'museum of ice cream', 'fun', 'nastya', 'like nastya', 'лайк настя']",39223,9922,10312444
Настя и её смешные куклы,Like Nastya,К Насте пришли смешные куколки и им нужны новые кроватки.,2018-03-20T07:30:00Z,"['куклы', 'игрушки', 'dolls', 'nastya', 'pretend play', 'playing', 'toys', 'play dolls', 'настя', 'like nastya', 'лайк настя']",84481,31528,36841254
Настя и новая карета с игрушками,Like Nastya,"У Насти новая карета, она едет на ней гулять и по дороге встречает новых друзей.",2018-03-18T07:00:00Z,"['игрушки', 'toys', 'pretend play', 'like nastya', 'настя', 'лайк настя', 'nastya', 'stacy']",102508,44765,38579016
Детская площадка Боб Строитель и Паровозик Томас,Like Nastya,Настя ищет свою игрушку Скай на детской площадке. Боб Строитель помогает ей в поиске и отправляет её к Паровозику Томасу.,2018-03-17T07:00:02Z,"['детская площадка', 'развлечения', 'playground', 'indoor playground', 'entertainment', 'play', 'fun', 'like nastya', 'настя', 'лайк настя']",290359,151749,107423413
Настя и Детский музей науки в Америке,Like Nastya,"Настя в музее узнала много новых звуков, познакомилась с физическими процессами и узнала как писать своё имя.",2018-03-13T07:30:02Z,"['детский музей', 'влог', 'музей науки', 'vlog', 'play', 'настя', 'лайк настя', 'like nastya', 'nastya']",25588,9883,10445286
Влог в зоопарке Майами Настя кормит жирафов,Like Nastya,Влог в зоопарке Майами Настя кормит жирафов,2018-03-11T07:30:01Z,"['vlog', 'zoo', 'animals', 'animals for children', 'zoo animals', 'for kids', 'for children', 'влог', 'зоопарк', 'в парке', 'майами', 'животные', 'в зоопарке', 'настя', 'лайк настя', 'nastya', 'like nastya']",85642,42521,51435095
Настя как Золушка для кукол пупсиков,Like Nastya,"Принцесса золушка как мама для кукол пупсиков 
Princess Cinderella Cleaning Up from baby dolls",2018-03-08T07:30:01Z,"['золушка', 'куклы', 'пупсики', 'clean up', 'dolls', 'для кукол', 'игрушки', 'princess', 'cinderella', 'игрушки для девочек', 'baby doll', 'for kids', 'toys', 'like nastya', 'настя', 'лайк настя']",94714,35156,28588795
Игрушки у Настюшки и новый необычный друг,Like Nastya,Игрушки у Настюшки и новый необычный друг Pretend play with toys for kids,2018-03-06T07:30:00Z,"['игрушки', 'настя', 'лайк настя', 'играем вместе', 'новые игрушки', 'игрушки для детей', 'видео про игрушки', 'видео игрушки', 'для детей', 'toys', 'like nastya', 'video for kids', 'kids toys', 'for kids', 'fun', 'play', 'pretend', 'pretend play', 'toys for kids', 'игрушки у настюшки']",58607,24980,25797766
Странные игрушки спрятали куклу Лолу Приключения в загадочном доме,Like Nastya,"Настя оказывается в очень загадочном доме, где происходят волшебные вещи. Но кто это сделал, что за странные игрушки такие?",2018-03-05T07:30:00Z,"['истории', 'игрушки', 'приключения', 'смешная история', 'настя', 'лайк настя', 'like nastya', 'doll', 'toys', 'balloons', 'funny toys']",124014,54124,50182136
Детская площадка с горками и игрушками. Настя и Маршал играют весело,Like Nastya,Детская площадка с горками и игрушками. Настя и игрушечный Маршал  из щенячьего патруля играют весело Indoor Playground for kids,2018-03-02T07:30:00Z,"['детская площадка', 'горки', 'игрушки', 'развлечения', 'для детей', 'развлечения для детей', 'игровая комната', 'детский развлекательный центр', 'playground', 'toys', 'for kids', 'indoor', 'fun', 'play area', 'playground for kids', 'kids play ground', 'entertainment', 'children playing', 'play', 'like nastya', 'настя', 'лайк настя']",40157,20023,15795385
Настя и новые игрушки от Микки и Минни маус Видео для детей про игрушки,Like Nastya,"Настя и новые игрушки от Микки и Минни Маус Видео для детей про игрушки
Наш Инстаграм goo.gl/jU2yBu",2018-02-28T07:30:00Z,"['игрушки', 'настя', 'микки и минни', 'для детей', 'микки маус', 'mickey mouse', 'mickey', 'for kids', 'минни маус', 'новые игрушки', 'видео для детей', 'детское видео', 'детский канал', 'kids toys', 'play', 'for children', 'toys', 'игрушки для детей', 'лайк настя', 'like nastya']",396749,186546,137197758
Magic Colored fruits and vegetables grow up by Like Nastya,Like Nastya,Magic Colored fruits and vegetables by Like Nastya,2018-02-27T07:30:00Z,"['magic for kids', 'fruits and vegetables', 'colored', 'play', 'kids toys', 'magic', 'pretend play', 'video for kids', 'for kids', 'playtime', 'kids youtube', 'grow up', 'toys', 'для детей', 'like nastya', 'настя', 'лайк настя', 'nastya']",22497,9532,10955123
Настя и её любимая кукла Лола,Like Nastya,Настя идёт веселиться с любимой куклой. Они отлично проводят время и покупают новые игрушки.,2018-02-24T07:30:02Z,"['игрушки', 'toy', 'кукла', 'baby doll', 'play', 'настя', 'like nastya', 'лайк настя']",111618,45610,63236360
